query_number,query,results,status,exec_time_ms,enum_time_ms
199,MATCH p=(:Person{id:"1632803"})-[:Knows*1..19]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
200,MATCH p=(:Person{id:"531242"})-[:Knows*1..19]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
201,MATCH p=(:Person{id:"1334631"})-[:Knows*1..19]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
202,MATCH p=(:Person{id:"1276136"})-[:Knows*1..19]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
203,MATCH p=(:Person{id:"224165"})-[:Knows*1..19]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
204,MATCH p=(:Person{id:"696585"})-[:Knows*1..19]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
205,MATCH p=(:Person{id:"617475"})-[:Knows*1..19]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
206,MATCH p=(:Person{id:"613913"})-[:Knows*1..19]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
207,MATCH p=(:Person{id:"131416"})-[:Knows*1..19]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
208,MATCH p=(:Person{id:"472869"})-[:Knows*1..19]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
209,MATCH p=(:Person{id:"5867"})-[:Knows*1..19]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
210,MATCH p=(:Person{id:"1632803"})-[:Knows*1..20]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
211,MATCH p=(:Person{id:"531242"})-[:Knows*1..20]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
212,MATCH p=(:Person{id:"1334631"})-[:Knows*1..20]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
213,MATCH p=(:Person{id:"1276136"})-[:Knows*1..20]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
214,MATCH p=(:Person{id:"224165"})-[:Knows*1..20]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
215,MATCH p=(:Person{id:"696585"})-[:Knows*1..20]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
216,MATCH p=(:Person{id:"617475"})-[:Knows*1..20]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
217,MATCH p=(:Person{id:"613913"})-[:Knows*1..20]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
218,MATCH p=(:Person{id:"131416"})-[:Knows*1..20]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
219,MATCH p=(:Person{id:"472869"})-[:Knows*1..20]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
220,MATCH p=(:Person{id:"5867"})-[:Knows*1..20]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
221,MATCH p=(:Person{id:"1632803"})-[:Knows*1..21]->(n) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
