query_number,query,results,status,exec_time_ms,enum_time_ms
220,MATCH p=(x1)-[:P106*0..]->(:Entity{id:'Q82955'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
221,MATCH p=(x1)-[:P106]->()-[:P279*0..]->(:Entity{id:'Q1028181'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
222,MATCH p=(x1)-[:P106]->()-[:P279*0..]->(:Entity{id:'Q15220429'}) RETURN p LIMIT 100000,0,OK,31,53
223,MATCH p=(x1)-[:P106]->()-[:P279*0..]->(:Entity{id:'Q177220'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
224,MATCH p=(x1)-[:P106]->()-[:P279*0..]->(:Entity{id:'Q2066131'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
225,MATCH p=(x1)-[:P106]->()-[:P279*0..]->(:Entity{id:'Q3391743'}) RETURN p LIMIT 100000,0,TIMEOUT,-1,-1
226,MATCH p=(x1)-[:P106]->()-[:P279*0..]->(:Entity{id:'Q33999'}) RETURN p LIMIT 100000,100000,OK,31,47907
227,MATCH p=(x1)-[:P106]->()-[:P279*0..]->(:Entity{id:'Q3455803'}) RETURN p LIMIT 100000,100000,OK,25,57988
228,MATCH p=(x1)-[:P106]->()-[:P279*0..]->(:Entity{id:'Q483501'}) RETURN p LIMIT 100000,100000,OK,19,48287
229,MATCH p=(x1)-[:P106]->()-[:P279*0..]->(:Entity{id:'Q639669'}) RETURN p LIMIT 100000,100000,OK,15,40413
230,MATCH p=(x1)-[:P106]->()-[:P279*0..]->(:Entity{id:'Q82594'}) RETURN p LIMIT 100000,11046,OK,17,13977
231,MATCH p=(x1)-[:P106]->()-[:P279*0..]->(:Entity{id:'Q82955'}) RETURN p LIMIT 100000,100000,OK,34,32652
233,MATCH p=(x1)-[:P106]->()-[:P279*1..]->(:Entity{id:'Q33999'}) RETURN p LIMIT 100000,100000,OK,61,32638
234,MATCH p=(x1)-[:P106]->()-[:P279]->(:Entity{id:'Q639669'}) RETURN p LIMIT 100000,100000,OK,53,25973
235,MATCH p=(x1)-[:P131*0..]->(:Entity{id:'Q1055'}) RETURN p LIMIT 100000,11028,OK,43,13378
236,MATCH p=(x1)-[:P131*0..]->(:Entity{id:'Q108047'}) RETURN p LIMIT 100000,1584,OK,29,4851
237,MATCH p=(x1)-[:P131*0..]->(:Entity{id:'Q108053'}) RETURN p LIMIT 100000,2145,OK,22,5658
238,MATCH p=(x1)-[:P131*0..]->(:Entity{id:'Q108093'}) RETURN p LIMIT 100000,903,OK,23,2125
239,MATCH p=(x1)-[:P131*0..]->(:Entity{id:'Q108106'}) RETURN p LIMIT 100000,1175,OK,30,2930
240,MATCH p=(x1)-[:P131*0..]->(:Entity{id:'Q1196'}) RETURN p LIMIT 100000,25018,OK,25,12878
241,MATCH p=(x1)-[:P131*0..]->(:Entity{id:'Q1197'}) RETURN p LIMIT 100000,45997,OK,26,43898
242,MATCH p=(x1)-[:P131*0..]->(:Entity{id:'Q1198'}) RETURN p LIMIT 100000,60370,OK,13,52186
